"General Name","LOINC Code","Fully-Specified Name (FSN)","Long Common Name"
"20q chromosome deletion analysis, Blood or tissue specimen","53628-4","20q chromosome deletion:Prid:Pt:Bld/Tiss:Nom:FISH","20q chromosome deletion [Identifier] in Blood or Tissue by FISH Nominal"
"HIV 1, Blood","62469-2","HIV 1 RNA:ACnc:Pt:Ser/Plas:Qn:Probe.amp.tar","HIV 1 RNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection"
"Parvovirus B19, Blood","50348-2","Parvovirus B19 DNA:PrThr:Pt:Bld:Ord:Probe.amp.tar","Parvovirus B19 DNA [Presence] in Blood by NAA with probe detection"
"Taenia solium IgG antibody, Blood","56665-3","Taenia solium Ab.IgG:Titr:Pt:Ser:SemiQn:IF","Taenia solium IgG Ab [Titer] in Serum by Immunofluorescence"
"Borrelia burgdorferi IgG antibody, Blood","6320-6","Borrelia burgdorferi Ab.IgG:PrThr:Pt:Ser:Ord:IB","Borrelia burgdorferi IgG Ab [Presence] in Serum by Immunoblot"
"Barium, Blood","5589-7","Barium:MCnc:Pt:Ser/Plas:Qn","Barium [Mass/volume] in Serum or Plasma"
"Smooth muscle antibody, Blood","5358-7","Smooth muscle Ab:Titr:Pt:Ser:SemiQn:IF","Smooth muscle Ab [Titer] in Serum by Immunofluorescence"
"LysoPC(18:0), Blood","75737-7","Lysophosphatidylcholine(18:0):SCnc:Pt:Plas:Qn","Lysophosphatidylcholine(18:0) [Moles/volume] in Plasma"
"B cell+T cell crossmatch, Serum+Blood","73809-6","B cell+T cell crossmatch:Imp:Pt:Ser+Bld:Ord:Complement dependent cytotoxicity","B cell+T cell crossmatch [Interpretation] Qualitative by Complement dependent cytotoxicity"
"Islet cell 512 antibody, Blood","56718-0","Islet cell 512 Ab:ACnc:Pt:Ser:Qn:IA","Islet cell 512 Ab [Units/volume] in Serum by Immunoassay"
"Alpha 1 antitrypsin, Blood","6771-0","Alpha 1 antitrypsin:MCnc:Pt:Ser/Plas:Qn:Nephelometry","Alpha 1 antitrypsin [Mass/volume] in Serum or Plasma by Nephelometry"
"Paraneoplastic antibody, Blood","61177-2","Paraneoplastic Ab:PrThr:Pt:Ser:Ord:IF","Paraneoplastic Ab [Presence] in Serum by Immunofluorescence"
"Influenza B (Flu B), Bronchoalveolar Lavage Specimen","76079-3","Influenza virus B RNA:PrThr:Pt:BAL:Ord:Probe.amp.tar","Influenza virus B RNA [Presence] in Bronchoalveolar lavage by NAA with probe detection"
"NMDAR IgG antibody, Blood","80221-5","N-methyl-D-aspartate receptor Ab.IgG:Titr:Pt:Ser:SemiQn:IF","NMDAR IgG Ab [Titer] in Serum by Immunofluorescence"
"Parvovirus B19, Blood","74420-1","Parvovirus B19 DNA:ACnc:Pt:Ser/Plas:Qn:Probe.amp.tar","Parvovirus B19 DNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection"
"Mycobacterium tuberculosis, Bronchoalveolar Lavage Specimen","78357-1","Mycobacterium tuberculosis DNA:PrThr:Pt:BAL:Ord:Probe.amp.tar","Mycobacterium tuberculosis DNA [Presence] in Bronchoalveolar lavage by NAA with probe detection"
"CALR gene Exon 9 variant analysis, Blood or tissue specimen","77174-1","CALR gene exon 9 targeted mutation analysis:Prid:Pt:Bld/Tiss:Nom:Molgen","CALR gene exon 9 mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal"
"t(15;17)(q24.1;q21.1)(PML,RARA) fusion transcript analysis, Blood or tissue specimen","77031-3","t(15;17)(q24.1;q21.1)(PML,RARA) fusion transcript:Find:Pt:Bld/Tiss:Doc:FISH","t(15;17)(q24.1;q21.1)(PML,RARA) fusion transcript in Blood or Tissue by FISH"
"Aquaporin 4 water channel IgG antibody, Spinal fluid","90818-6","Aquaporin 4 water channel Ab.IgG:PrThr:Pt:CSF:Ord:CBA IFA","Aquaporin 4 water channel IgG Ab [Presence] in Cerebral spinal fluid by Cell binding immunofluorescent assay"
"Giardia lamblia IgG antibody, Blood","6411-3","Giardia lamblia Ab.IgG:Titr:Pt:Ser:SemiQn:IF","Giardia lamblia IgG Ab [Titer] in Serum by Immunofluorescence"
"IL28B gene associated variant rs12979860, Blood or tissue specimen","60279-7","IL28B gene associated variant rs12979860:PrThr:Pt:Bld/Tiss:Ord:Molgen","IL28B gene associated variant rs12979860 [Presence] in Blood or Tissue by Molecular genetics method"
"22q11.2 deletion/duplication analysis, Blood or tissue specimen","82246-0","Chromosome region 22q11.2 deletion+duplication:Find:Pt:Bld/Tiss:Doc:FISH","Chromosome region 22q11.2 deletion and duplication mutation analysis in Blood or Tissue by FISH"
"6p25 and 6q23 and 11q and 8q24 and 9p21 chromosome partial aneuploidy, Blood or tissue specimen","76065-2","6p25 & 6q23 & 11q & 8q24 & 9p21 chromosome partial aneuploidy:Find:Pt:Bld/Tiss:Doc:FISH","6p25 and 6q23 and 11q and 8q24 and 9p21 chromosome partial aneuploidy in Blood or Tissue by FISH"
"Influenza A (Flu A), Specimen","34487-9","Influenza virus A RNA:PrThr:Pt:XXX:Ord:Probe.amp.tar","Influenza virus A RNA [Presence] in Specimen by NAA with probe detection"
"Dengue virus, Donor Blood","85584-1","Dengue virus RNA:PrThr:Pt:Plas^Donor:Ord:Probe.amp.tar","Dengue virus RNA [Presence] in Plasma from Donor by NAA with probe detection"
"inv(16)(p13.1;q22.1)(MYH11,CBFB) fusion transcript analysis, Blood or tissue specimen","70291-0","inv(16)(p13.1;q22.1)(MYH11,CBFB) fusion transcript:Arb:Pt:Bld/Tiss:Ord:Molgen","inv(16)(p13.1;q22.1)(MYH11,CBFB) fusion transcript [Presence] in Blood or Tissue by Molecular genetics method"
"Herpes simplex virus 1 (HSV 1), Blood","92870-5","Herpes simplex virus 1 DNA:PrThr:Pt:Bld:Ord:Probe.amp.tar","Herpes simplex virus 1 DNA [Presence] in Blood by NAA with probe detection"
"Leucine-rich glioma-inactivated protein 1 antibody, Spinal fluid","90831-9","Leucine-rich glioma-inactivated protein 1 Ab:Titr:Pt:CSF:SemiQn:CBA IFA","Leucine-rich glioma-inactivated protein 1 Ab [Titer] in Cerebral spinal fluid by Cell binding immunofluorescent assay"
"Taenia solium IgG antibody, Blood","56486-4","Taenia solium Ab.IgG:ACnc:Pt:Ser:Qn:IA","Taenia solium IgG Ab [Units/volume] in Serum by Immunoassay"
"Haemophilus influenzae, Spinal fluid","82183-5","Haemophilus influenzae DNA:PrThr:Pt:CSF:Ord:Non-probe.amp.tar","Haemophilus influenzae DNA [Presence] in Cerebral spinal fluid by NAA with non-probe detection"
"Enterovirus, Body fluid","87960-1","Enterovirus RNA:PrThr:Pt:Body fld:Ord:Probe.amp.tar","Enterovirus RNA [Presence] in Body fluid by NAA with probe detection"
"Human Papilloma virus (HPV), Tissue","86564-2","Human papilloma virus DNA:PrThr:Pt:Tiss:Ord:Probe.amp.tar","Human papilloma virus DNA [Presence] in Tissue by NAA with probe detection"
"Human Papilloma virus (HPV), Genital specimen","91852-4","Human papilloma virus DNA:PrThr:Pt:Genital:Ord:Probe.amp.tar","Human papilloma virus DNA [Presence] in Genital specimen by NAA with probe detection"
"Herpes simplex virus 2 (HSV 2), Blood","92873-9","Herpes simplex virus 2 DNA:PrThr:Pt:Bld:Ord:Probe.amp.tar","Herpes simplex virus 2 DNA [Presence] in Blood by NAA with probe detection"
"Metabotropic glutamate receptor 1 IgG antibody, Spinal fluid","93500-7","Metabotropic glutamate receptor 1 Ab.IgG:PrThr:Pt:CSF:Ord:CBA IFA","Metabotropic glutamate receptor 1 IgG Ab [Presence] in Cerebral spinal fluid by Cell binding immunofluorescent assay"
"Metabotropic glutamate receptor 1 IgG antibody, Blood","93498-4","Metabotropic glutamate receptor 1 Ab.IgG:PrThr:Pt:Ser:Ord:CBA IFA","Metabotropic glutamate receptor 1 IgG Ab [Presence] in Serum by Cell binding immunofluorescent assay"
"GRHPR gene variant analysis, Blood or tissue specimen","94202-9","GRHPR gene deletion+duplication & full mutation analysis:Find:Pt:Bld/Tiss:Doc:Molgen","GRHPR gene deletion+duplication and full mutation analysis in Blood or Tissue by Molecular genetics method"
"Aquaporin 4 water channel IgG antibody, Blood","95272-1","Aquaporin 4 water channel Ab.IgG:PrThr:Pt:Ser:Ord:CBA IFA","Aquaporin 4 water channel IgG Ab [Presence] in Serum by Cell binding immunofluorescent assay"
"Leucine-rich glioma-inactivated protein 1 antibody, Blood","95601-1","Leucine-rich glioma-inactivated protein 1 Ab:Titr:Pt:Ser:SemiQn:CBA IFA","Leucine-rich glioma-inactivated protein 1 Ab [Titer] in Serum by Cell binding immunofluorescent assay"
"11-Deoxycorticosterone, Blood","1656-8","11-Deoxycorticosterone:MCnc:Pt:Ser/Plas:Qn","11-Deoxycorticosterone [Mass/volume] in Serum or Plasma"
"21-Hydroxylase antibody, Blood","85363-0","21-Hydroxylase Ab:PrThr:Pt:Ser:Ord","21-Hydroxylase Ab [Presence] in Serum"
"t(9;22)(q34.1;q11)(ABL1,BCR) fusion transcript analysis, Bone marrow","82904-4","t(9;22)(q34.1;q11)(ABL1,BCR) fusion transcript:PrThr:Pt:Bone mar:Ord:Molgen","t(9;22)(q34.1;q11)(ABL1,BCR) fusion transcript [Presence] in Bone marrow by Molecular genetics method"
"OXcarbazepine, Blood","35331-8","OXcarbazepine:MCnc:Pt:Ser/Plas:Qn","OXcarbazepine [Mass/volume] in Serum or Plasma"
"11-Deoxycortisol, Blood","1657-6","11-Deoxycortisol:MCnc:Pt:Ser/Plas:Qn","11-Deoxycortisol [Mass/volume] in Serum or Plasma"
"Alpha 1 antitrypsin fecal clearance, S/P+St","12960-1","Alpha 1 antitrypsin fecal clearance:ACnc:Pt:Ser/Plas+Stool:Qn","Alpha 1 antitrypsin fecal clearance"
"Cortisol, Saliva","2142-8","Cortisol:MCnc:Pt:Saliva:Qn","Cortisol [Mass/volume] in Saliva (oral fluid)"
"Benzene, Blood","9330-2","Benzene:MCnc:Pt:Bld:Qn","Benzene [Mass/volume] in Blood"
"Amyloid A, Blood","48498-0","Amyloid A:MCnc:Pt:Ser/Plas:Qn","Amyloid A [Mass/volume] in Serum or Plasma"
"Biotinidase, Dried blood spot","75217-0","Biotinidase:CCnc:Pt:Bld.dot:Qn","Biotinidase [Enzymatic activity/volume] in DBS"
"Complement C1 Esterase Inhibitor, Blood","4477-6","Complement C1 esterase inhibitor:MCnc:Pt:Ser/Plas:Qn","Complement C1 esterase inhibitor [Mass/volume] in Serum or Plasma"
"Glutamate decarboxylase 65 antibody, Blood","94699-6","Glutamate decarboxylase 65 Ab:SCnc:Pt:Ser:Qn:IA","Glutamate decarboxylase 65 Ab [Moles/volume] in Serum by Immunoassay"
"Neisseria gonorrhoeae, Cervix","96599-6","Neisseria gonorrhoeae DNA:PrThr:Pt:Cvx:Ord:Probe.amp.tar","Neisseria gonorrhoeae DNA [Presence] in Cervix by NAA with probe detection"
"Transferrin.carbohydrate deficient, Blood","12949-4","Transferrin.carbohydrate deficient:MCnc:Pt:Ser/Plas:Qn","Transferrin.carbohydrate deficient [Mass/volume] in Serum or Plasma"
"Alpha Galactosidase A, Blood","1813-5","Alpha galactosidase A:CCnc:Pt:Ser/Plas:Qn","Alpha galactosidase A [Enzymatic activity/volume] in Serum or Plasma"
"Biotinidase, Blood","1982-8","Biotinidase:CCnc:Pt:Ser/Plas:Qn","Biotinidase [Enzymatic activity/volume] in Serum or Plasma"
"t(9;22)(q34.1;q11)(ABL1,BCR) fusion transcript analysis, Blood or tissue specimen","21821-4","t(9;22)(q34.1;q11)(ABL1,BCR) fusion transcript:Arb:Pt:Bld/Tiss:Ord:Molgen","t(9;22)(q34.1;q11)(ABL1,BCR) fusion transcript [Presence] in Blood or Tissue by Molecular genetics method"
"5-Fluorocytosine, Blood","3639-2","5-Fluorocytosine:MCnc:Pt:Ser/Plas:Qn","5-Fluorocytosine [Mass/volume] in Serum or Plasma"
"Cholesterol esters/Total Cholesterol, Blood","21197-9","Cholesterol esters/Cholesterol.total:MFr:Pt:Ser/Plas:Qn","Cholesterol esters/Cholesterol.total in Serum or Plasma"
"clonazePAM, Blood","3494-2","clonazePAM:MCnc:Pt:Ser/Plas:Qn","clonazePAM [Mass/volume] in Serum or Plasma"
"Coxiella burnetii IgG antibody, Blood","25384-9","Coxiella burnetii Ab.IgG:Titr:Pt:Ser:SemiQn:IF","Coxiella burnetii IgG Ab [Titer] in Serum by Immunofluorescence"
"DOPamine, Urine","27212-0","DOPamine:MCnc:24H:Urine:Qn","DOPamine [Mass/volume] in 24 hour Urine"
"cloZAPine+Norclozapine, Blood","12375-2","Clozapine+Norclozapine:MCnc:Pt:Ser/Plas:Qn","cloZAPine+Norclozapine [Mass/volume] in Serum or Plasma"
"Pancreatic islet cell antibody, Blood","13927-9","Pancreatic islet cell Ab:Titr:Pt:Ser:SemiQn","Pancreatic islet cell Ab [Titer] in Serum"
"Sertraline, Blood","6906-2","Sertraline:MCnc:Pt:Ser/Plas:Qn","Sertraline [Mass/volume] in Serum or Plasma"
"Cryofibrinogen, Blood","11043-7","Cryofibrinogen:PrThr:Pt:Plas:Ord","Cryofibrinogen [Presence] in Plasma"
"Alpha 1 antitrypsin fecal clearance, S/P+St","18271-7","Alpha 1 antitrypsin fecal clearance:VRat:24H:Ser/Plas+Stool:Qn","Alpha 1 antitrypsin fecal clearance in 24 hour"
"Nuclear antibody, Blood","33253-6","Nuclear Ab:Titr:Pt:Ser:SemiQn:Hep2 substrate","Nuclear Ab [Titer] in Serum by Hep2 substrate"
"DOPamine, Blood","2216-0","DOPamine:MCnc:Pt:Ser/Plas:Qn","DOPamine [Mass/volume] in Serum or Plasma"
"Angiotensin converting enzyme, Spinal fluid","12480-0","Angiotensin converting enzyme:CCnc:Pt:CSF:Qn","Angiotensin converting enzyme [Enzymatic activity/volume] in Cerebral spinal fluid"
"Estrogen, Blood","2254-1","Estrogen:MCnc:Pt:Ser/Plas:Qn","Estrogen [Mass/volume] in Serum or Plasma"
"Free hydroxyproline, Urine","2450-5","Hydroxyproline.free:MRat:24H:Urine:Qn","Hydroxyproline Free [Mass/time] in 24 hour Urine"
"1,3 beta glucan, Blood","93812-6","1,3 beta glucan:PrThr:Pt:Ser:Ord","1,3 beta glucan [Presence] in Serum"
"Gabapentin, Blood","9738-6","Gabapentin:MCnc:Pt:Ser/Plas/Bld:Qn","Gabapentin [Mass/volume] in Serum, Plasma or Blood"
"Fragile X Protein (FMRP), Blood","64417-9","Fragile X protein (FMRP):Imp:Pt:Bld:Nom","Fragile X protein (FMRP) [Interpretation] in Blood"
"1,3 beta glucan, Blood","42176-8","1,3 beta glucan:MCnc:Pt:Ser:Qn","1,3 beta glucan [Mass/volume] in Serum"
"Heparin anti Xa, Nonbiological Fluid","31159-7","Heparin anti Xa:ACnc:Pt:Flu.nonbiological:Qn","Heparin anti Xa [Units/volume] in Nonbiological fluid"
"Haemophilus influenzae, Specimen","61366-1","Haemophilus influenzae DNA:PrThr:Pt:XXX:Ord:Probe.amp.tar","Haemophilus influenzae DNA [Presence] in Specimen by NAA with probe detection"
"HbA1c, Blood","41995-2","Hemoglobin A1c:MCnc:Pt:Bld:Qn","Hemoglobin A1c [Mass/volume] in Blood"
"Histamine, Blood","2416-6","Histamine:MCnc:Pt:Ser/Plas:Qn","Histamine [Mass/volume] in Serum or Plasma"
"Fluoride, Blood","14726-4","Fluoride:SCnc:Pt:Ser/Plas:Qn","Fluoride [Moles/volume] in Serum or Plasma"
"HLA-B27 cells, Blood","55431-1","Cells.HLA-B27:NCnc:Pt:Bld:Qn","HLA-B27 cells [#/volume] in Blood"
"HIV 1, Blood","59419-2","HIV 1 RNA:NCnc:Pt:Plas:Qn:Probe.amp.sig","HIV 1 RNA [#/volume] (viral load) in Plasma by Probe with signal amplification"
"Histoplasma capsulatum antigen, Urine","48952-6","Histoplasma capsulatum Ag:MCnc:Pt:Urine:Qn","Histoplasma capsulatum Ag [Mass/volume] in Urine"
"HIV 1 proviral, Blood","74854-1","HIV 1 proviral DNA:NCnc:Pt:Bld:Qn:Probe.amp.tar","HIV 1 proviral DNA [#/volume] (viral load) in Blood by NAA with probe detection"
"Glucose-6-Phosphate dehydrogenase, Blood","49502-8","Glucose-6-Phosphate dehydrogenase:EntCat:Pt:Bld:Qn","Glucose-6-Phosphate dehydrogenase [Entitic Catalytic Activity] in Blood"
"Haloperidol, Blood","3669-9","Haloperidol:MCnc:Pt:Ser/Plas:Qn","Haloperidol [Mass/volume] in Serum or Plasma"
"HIV 1, Blood","20447-9","HIV 1 RNA:NCnc:Pt:Ser/Plas:Qn:Probe.amp.tar","HIV 1 RNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection"
"Choriomammotropin, Blood","2104-8","Choriomammotropin:MCnc:Pt:Ser:Qn","Choriomammotropin [Mass/volume] in Serum"
"Hemosiderin, Urine","4644-1","Hemosiderin:PrThr:Pt:Urine:Ord","Hemosiderin [Presence] in Urine"
"Islet cell 512 antibody, Blood","81155-4","Islet cell 512 Ab:SCnc:Pt:Ser:Qn","Islet cell 512 Ab [Moles/volume] in Serum"
"HBc+HBe+p22cr antigen, Blood","97152-3","Hepatitis B virus core+little e+p22cr Ag:ACnc:Pt:Ser/Plas:Qn:IA","HBc+HBe+p22cr Ag [Units/volume] in Serum or Plasma by Immunoassay"
"Human Papilloma virus (HPV) test, Specimen","11481-9","Human papilloma virus identified:Prid:Pt:XXX:Nom","Human papilloma virus identified in Specimen"
"Pro-hepcidin, Blood","48497-2","Pro-hepcidin:MCnc:Pt:Ser/Plas:Qn","Pro-hepcidin [Mass/volume] in Serum or Plasma"
"hydrOXYzine, Blood","3686-3","hydrOXYzine:MCnc:Pt:Ser/Plas:Qn","hydrOXYzine [Mass/volume] in Serum or Plasma"
"Enterocyte IgM antibody, Blood","69032-1","Enterocyte Ab.IgM:PrThr:Pt:Ser:Ord","Enterocyte IgM Ab [Presence] in Serum"
"Immunoglobulin light chains.lambda, Blood","11051-0","Immunoglobulin light chains.lambda:MCnc:Pt:Ser/Plas:Qn","Lambda light chains [Mass/volume] in Serum or Plasma"
"Insulin antibody, Blood","60463-7","Insulin Ab:SCnc:Pt:Ser:Qn","Insulin Ab [Moles/volume] in Serum"
"Elastase.pancreatic, Stool","42902-7","Elastase.pancreatic:PrThr:Pt:Stool:Ord","Elastase.pancreatic [Presence] in Stool"
"Legionella sp, Lower respiratory","88588-9","Legionella sp DNA:Prid:Pt:Respiratory system specimen.lower:Nom:Probe.amp.tar","Legionella sp DNA [Identifier] in Lower respiratory specimen by NAA with probe detection"
"Isoniazid, Blood","3697-0","Isoniazid:MCnc:Pt:Ser/Plas:Qn","Isoniazid [Mass/volume] in Serum or Plasma"
"Transferrin.carbohydrate deficient, Blood","13999-8","Transferrin.carbohydrate deficient:ACnc:Pt:Ser/Plas:Qn","Transferrin.carbohydrate deficient [Units/volume] in Serum or Plasma"
"Ovary antibody, Blood","13120-1","Ovary Ab:ACnc:Pt:Ser:Qn","Ovary Ab [Units/volume] in Serum"
"Leflunomide, Blood","38901-5","Leflunomide:MCnc:Pt:Ser/Plas:Qn","Leflunomide [Mass/volume] in Serum or Plasma"
"Legionella pneumophila, Tissue","88577-2","Legionella pneumophila DNA:PrThr:Pt:Tiss:Ord:Probe.amp.tar","Legionella pneumophila DNA [Presence] in Tissue by NAA with probe detection"
"levETIRAcetam, Blood","30471-7","levETIRAcetam:MCnc:Pt:Ser/Plas:Qn","levETIRAcetam [Mass/volume] in Serum or Plasma"
"Legionella sp, Tissue","88587-1","Legionella sp DNA:Prid:Pt:Tiss:Nom:Probe.amp.tar","Legionella sp DNA [Identifier] in Tissue by NAA with probe detection"
"Magnesium, Specimen","87469-3","Magnesium:MCnc:Pt:XXX:Qn","Magnesium [Mass/volume] in Specimen"
"Legionella pneumophila, Lower respiratory","88590-5","Legionella pneumophila DNA:PrThr:Pt:Respiratory system specimen.lower:Ord:Probe.amp.tar","Legionella pneumophila DNA [Presence] in Lower respiratory specimen by NAA with probe detection"
"Ceramide risk score, Blood","93876-1","Ceramide risk score:Score:Pt:Plas:Qn:Calculated","Ceramide risk score in Plasma by calculation"
"Legionella pneumophila, Respiratory","92145-2","Legionella pneumophila DNA:PrThr:Pt:Respiratory System Specimen:Ord:Probe.amp.tar","Legionella pneumophila DNA [Presence] in Respiratory specimen by NAA with probe detection"
"Free metanephrine, Blood","49700-8","Metanephrine.free:SCnc:Pt:Ser/Plas:Qn","Metanephrine Free [Moles/volume] in Serum or Plasma"
"Transferrin.carbohydrate deficient.monosialo/Transferrin.carbohydrate Deficient.disialo, Blood","44732-6","Transferrin.carbohydrate deficient.monosialo/Transferrin.carbohydrate deficient.disialo:MRto:Pt:Ser/Plas:Qn","Transferrin.carbohydrate deficient.monosialo/Transferrin.carbohydrate deficient.disialo [Mass Ratio] in Serum or Plasma"
"Mycobacterium leprae, Upper respiratory","91805-2","Mycobacterium leprae DNA:PrThr:Pt:Respiratory system specimen.upper:Ord:Probe.amp.tar","Mycobacterium leprae DNA [Presence] in Upper respiratory specimen by NAA with probe detection"
"Myoglobin, Urine","2641-9","Myoglobin:MCnc:Pt:Urine:Qn","Myoglobin [Mass/volume] in Urine"
"Molybdenum, Blood","5698-6","Molybdenum:MCnc:Pt:Ser/Plas:Qn","Molybdenum [Mass/volume] in Serum or Plasma"
"Neisseria meningitidis, Spinal fluid","82185-0","Neisseria meningitidis DNA:PrThr:Pt:CSF:Ord:Non-probe.amp.tar","Neisseria meningitidis DNA [Presence] in Cerebral spinal fluid by NAA with non-probe detection"
"Nickel, Blood","5702-6","Nickel:MCnc:Pt:Ser/Plas:Qn","Nickel [Mass/volume] in Serum or Plasma"
"Free normetanephrine, Blood","57462-4","Normetanephrine.free:MCnc:Pt:Ser/Plas:Qn","Normetanephrine Free [Mass/volume] in Serum or Plasma"
"Phospholipid, Blood","2568-4","Phospholipid:MCnc:Pt:Ser/Plas:Qn","Phospholipid [Mass/volume] in Serum or Plasma"
"Pancreatic polypeptide, Blood","2721-9","Pancreatic polypeptide:MCnc:Pt:Ser/Plas:Qn","Pancreatic polypeptide [Mass/volume] in Serum or Plasma"
"Parainfluenza virus, Lower respiratory","88562-4","Parainfluenza virus RNA:PrThr:Pt:Respiratory system specimen.lower:Ord:Probe.amp.tar","Parainfluenza virus RNA [Presence] in Lower respiratory specimen by NAA with probe detection"
"Nocardia sp culture","14226-5","Nocardia sp identified:Prid:Pt:Isolate:Nom:Organism specific culture","Nocardia sp identified in Isolate by Organism specific culture"
"Prolactin, Blood","2842-3","Prolactin:MCnc:Pt:Ser/Plas:Qn","Prolactin [Mass/volume] in Serum or Plasma"
"OLANZapine, Blood","12389-3","OLANZapine:MCnc:Pt:Ser/Plas:Qn","OLANZapine [Mass/volume] in Serum or Plasma"
"Pyruvate, Blood","12247-3","Pyruvate:MCnc:Pt:Ser/Plas:Qn","Pyruvate [Mass/volume] in Serum or Plasma"
"Free metanephrine, Blood","38494-1","Metanephrine.free:MCnc:Pt:Ser/Plas:Qn","Metanephrine Free [Mass/volume] in Serum or Plasma"
